sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_GE_204550.1743__ETF1_2	0Safe_safe_GE__ETF1	55	67	45	55
0Safe_safe_GE_204550.1743__ETF1_3	0Safe_safe_GE__ETF1	22	15	33	35
0Safe_safe_GE_204550.1743__ETF1_4	0Safe_safe_GE__ETF1	49	46	70	112
0Safe_safe_GE_204550.1743__EZH2_1	0Safe_safe_GE__EZH2	44	43	78	91
0Safe_safe_GE_204550.1743__EZH2_2	0Safe_safe_GE__EZH2	64	58	138	138
0Safe_safe_GE_204550.1743__EZH2_3	0Safe_safe_GE__EZH2	67	70	116	145
0Safe_safe_GE_204550.1743__EZH2_4	0Safe_safe_GE__EZH2	37	50	90	105
0Safe_safe_GE_204550.1743__HSP90B1_1	0Safe_safe_GE__HSP90B1	50	61	124	110
0Safe_safe_GE_204550.1743__HSP90B1_2	0Safe_safe_GE__HSP90B1	82	74	76	112
0Safe_safe_GE_204550.1743__HSP90B1_3	0Safe_safe_GE__HSP90B1	48	50	60	71
0Safe_safe_GE_204550.1743__HSP90B1_4	0Safe_safe_GE__HSP90B1	20	24	37	35
0Safe_safe_GE_204550.1743__IGF1R_1	0Safe_safe_GE__IGF1R	58	78	109	89
0Safe_safe_GE_204550.1743__IGF1R_2	0Safe_safe_GE__IGF1R	55	56	81	114
0Safe_safe_GE_204550.1743__IGF1R_3	0Safe_safe_GE__IGF1R	176	169	210	202
0Safe_safe_GE_204550.1743__IGF1R_4	0Safe_safe_GE__IGF1R	30	20	25	50
0Safe_safe_GE_204550.1743__MAPK13_1	0Safe_safe_GE__MAPK13	183	182	293	353
0Safe_safe_GE_204550.1743__MAPK13_2	0Safe_safe_GE__MAPK13	56	63	104	126
0Safe_safe_GE_204550.1743__MAPK13_3	0Safe_safe_GE__MAPK13	88	99	160	208
0Safe_safe_GE_204550.1743__MAPK13_4	0Safe_safe_GE__MAPK13	44	48	87	101
0Safe_safe_GE_204550.1743__TRIB2_1	0Safe_safe_GE__TRIB2	48	41	89	109
0Safe_safe_GE_204550.1743__TRIB2_2	0Safe_safe_GE__TRIB2	42	41	72	61
0Safe_safe_GE_204550.1743__TRIB2_3	0Safe_safe_GE__TRIB2	112	94	165	248
0Safe_safe_GE_204550.1743__TRIB2_4	0Safe_safe_GE__TRIB2	58	42	105	103
0Safe_safe_GE_204550.1743__ULK1_1	0Safe_safe_GE__ULK1	27	35	40	63
0Safe_safe_GE_204550.1743__ULK1_2	0Safe_safe_GE__ULK1	45	59	83	72
0Safe_safe_GE_204550.1743__ULK1_3	0Safe_safe_GE__ULK1	44	31	36	53
0Safe_safe_GE_204550.1743__ULK1_4	0Safe_safe_GE__ULK1	80	86	142	163
0Safe_safe_GE_204550.1743__WNT5A_1	0Safe_safe_GE__WNT5A	83	84	138	163
0Safe_safe_GE_204550.1743__WNT5A_2	0Safe_safe_GE__WNT5A	93	82	144	139
0Safe_safe_GE_204550.1743__WNT5A_3	0Safe_safe_GE__WNT5A	55	48	118	97
